date,c_IP,c_port,s_ip,s_port,trans_ID,time,trans,bitrate
20210516091027,192.168.1.18,43486,88.80.187.84,20180,3,0.0-0.1,110880,7829402
20210516091028,192.168.1.18,43488,88.80.187.84,20180,3,0.0-0.3,495360,12594125
20210516091028,192.168.1.18,43490,88.80.187.84,20180,3,0.0-0.7,365824,4427408
20210516091029,192.168.1.18,43492,88.80.187.84,20180,3,0.0-0.9,917504,8151379
20210516091031,192.168.1.18,43494,88.80.187.84,20180,3,0.0-1.0,917504,7118759
20210516091032,192.168.1.18,43496,88.80.187.84,20180,3,0.0-1.6,1310720,6687534
20210516091035,192.168.1.18,43498,88.80.187.84,20180,3,0.0-2.2,1966080,7165497
20210516091038,192.168.1.18,43500,88.80.187.84,20180,3,0.0-3.2,1966080,4954003
20210516091043,192.168.1.18,43502,88.80.187.84,20180,3,0.0-5.2,4325376,6662859
20210516091051,192.168.1.18,43504,88.80.187.84,20180,3,0.0-8.1,6422528,6348257
20210516091102,192.168.1.18,43506,88.80.187.84,20180,3,0.0-10.2,7864320,6192134
20210516091122,192.168.1.18,43510,88.80.187.84,20180,3,0.0-20.3,16252928,6416967
20210516091154,192.168.1.18,43514,88.80.187.84,20180,3,0.0-31.0,24248320,6256793
20210516091235,192.168.1.18,43516,88.80.187.84,20180,3,0.0-40.7,30932992,6087286
20210516091325,192.168.1.18,43522,88.80.187.84,20180,3,0.0-50.4,38797312,6164244
20210516091426,192.168.1.18,43524,88.80.187.84,20180,3,0.0-60.2,46399488,6170048
